name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p14	success	  0.344566	515.369112	515.713678	6656	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p14.pddl --formula emptyhand & on-table_b1 & on-table_b2 & on_b3_b8 & on_b4_b1 & on_b5_b10 & on-table_b6 & on_b7_b6 & on-table_b8 & on_b9_b2 & on_b10_b4 & clear_b3 & clear_b5 & clear_b7 & clear_b9 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p14 --algorithm laostar --heuristic ff
p15	success	  0.345797	266.774569	267.120366	5034	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p15.pddl --formula emptyhand & on_b1_b9 & on_b2_b5 & on_b3_b2 & on_b4_b3 & on_b5_b6 & on-table_b6 & on_b7_b4 & on_b8_b7 & on-table_b9 & on_b10_b1 & clear_b8 & clear_b10 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p15 --algorithm laostar --heuristic ff
p16	timeout	 -1.000000	 -1.000000	600.003100	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p16.pddl --formula emptyhand & on_b1_b7 & on_b2_b8 & on_b3_b10 & on-table_b4 & on_b5_b4 & on_b6_b9 & on_b7_b2 & on_b8_b3 & on_b9_b5 & on-table_b10 & clear_b1 & clear_b6 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p16 --algorithm laostar --heuristic ff
p17	success	  0.353485	320.662941	321.016426	5831	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p17.pddl --formula emptyhand & on_b1_b8 & on-table_b2 & on_b3_b6 & on_b4_b2 & on-table_b5 & on_b6_b10 & on_b7_b1 & on_b8_b5 & on-table_b9 & on-table_b10 & clear_b3 & clear_b4 & clear_b7 & clear_b9 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p17 --algorithm laostar --heuristic ff
p18	success	  0.346156	  4.958504	  5.304660	911	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p18.pddl --formula emptyhand & on-table_b1 & on_b2_b4 & on_b3_b5 & on-table_b4 & on_b5_b8 & on-table_b6 & on-table_b7 & on_b8_b1 & on_b9_b6 & on_b10_b7 & clear_b2 & clear_b3 & clear_b9 & clear_b10 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p18 --algorithm laostar --heuristic ff
p19	timeout	 -1.000000	 -1.000000	600.002809	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p19.pddl --formula emptyhand & on-table_b1 & on_b2_b9 & on_b3_b7 & on_b4_b10 & on_b5_b2 & on_b6_b1 & on-table_b7 & on_b8_b4 & on-table_b9 & on_b10_b6 & clear_b3 & clear_b5 & clear_b8 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p19 --algorithm laostar --heuristic ff
p20	timeout	 -1.000000	 -1.000000	600.003511	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p20.pddl --formula emptyhand & on_b1_b9 & on_b2_b1 & on-table_b3 & on-table_b4 & on-table_b5 & on_b6_b7 & on-table_b7 & on-table_b8 & on_b9_b6 & on_b10_b3 & clear_b2 & clear_b4 & clear_b5 & clear_b8 & clear_b10 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p20 --algorithm laostar --heuristic ff
p21	timeout	 -1.000000	 -1.000000	600.003210	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p21.pddl --formula emptyhand & on_b1_b6 & on_b2_b1 & on_b3_b12 & on-table_b4 & on_b5_b3 & on-table_b6 & on-table_b7 & on_b8_b9 & on-table_b9 & on_b10_b5 & on_b11_b2 & on_b12_b8 & on_b13_b15 & on_b14_b11 & on_b15_b14 & clear_b4 & clear_b7 & clear_b10 & clear_b13 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p21 --algorithm laostar --heuristic ff
p22	timeout	 -1.000000	 -1.000000	600.003353	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p22.pddl --formula emptyhand & on_b1_b11 & on_b2_b12 & on_b3_b9 & on_b4_b14 & on_b5_b7 & on-table_b6 & on-table_b7 & on_b8_b4 & on_b9_b10 & on_b10_b6 & on_b11_b15 & on_b12_b3 & on_b13_b2 & on-table_b14 & on_b15_b5 & clear_b1 & clear_b8 & clear_b13 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p22 --algorithm laostar --heuristic ff
p23	timeout	 -1.000000	 -1.000000	600.003453	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p23.pddl --formula emptyhand & on_b1_b12 & on_b2_b10 & on-table_b3 & on_b4_b7 & on_b5_b15 & on_b6_b5 & on-table_b7 & on-table_b8 & on_b9_b3 & on_b10_b13 & on_b11_b8 & on-table_b12 & on_b13_b11 & on_b14_b4 & on_b15_b14 & clear_b1 & clear_b2 & clear_b6 & clear_b9 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p23 --algorithm laostar --heuristic ff
p24	timeout	 -1.000000	 -1.000000	600.003056	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p24.pddl --formula emptyhand & on_b1_b14 & on_b2_b4 & on_b3_b9 & on_b4_b12 & on-table_b5 & on_b6_b1 & on_b7_b6 & on_b8_b10 & on_b9_b15 & on_b10_b7 & on-table_b11 & on_b12_b13 & on_b13_b8 & on-table_b14 & on-table_b15 & clear_b2 & clear_b3 & clear_b5 & clear_b11 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p24 --algorithm laostar --heuristic ff
p25	timeout	 -1.000000	 -1.000000	600.003277	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p25.pddl --formula emptyhand & on-table_b1 & on_b2_b9 & on_b3_b7 & on_b4_b5 & on_b5_b12 & on_b6_b1 & on_b7_b15 & on_b8_b11 & on_b9_b10 & on_b10_b8 & on_b11_b13 & on_b12_b3 & on-table_b13 & on_b14_b2 & on_b15_b6 & clear_b4 & clear_b14 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p25 --algorithm laostar --heuristic ff
p26	timeout	 -1.000000	 -1.000000	600.003229	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p26.pddl --formula emptyhand & on-table_b1 & on_b2_b12 & on-table_b3 & on_b4_b9 & on_b5_b15 & on_b6_b10 & on_b7_b6 & on_b8_b11 & on_b9_b5 & on-table_b10 & on_b11_b3 & on-table_b12 & on_b13_b14 & on_b14_b7 & on-table_b15 & clear_b1 & clear_b2 & clear_b4 & clear_b8 & clear_b13 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p26 --algorithm laostar --heuristic ff
p27	timeout	 -1.000000	 -1.000000	600.003183	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p27.pddl --formula emptyhand & on_b1_b8 & on_b2_b10 & on_b3_b15 & on_b4_b14 & on_b5_b11 & on-table_b6 & on_b7_b4 & on_b8_b3 & on_b9_b1 & on_b10_b9 & on_b11_b6 & on_b12_b7 & on_b13_b5 & on-table_b14 & on-table_b15 & clear_b2 & clear_b12 & clear_b13 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p27 --algorithm laostar --heuristic ff
p28	timeout	 -1.000000	 -1.000000	600.003256	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p28.pddl --formula emptyhand & on-table_b1 & on_b2_b11 & on_b3_b15 & on_b4_b1 & on-table_b5 & on_b6_b14 & on_b7_b4 & on_b8_b7 & on-table_b9 & on-table_b10 & on_b11_b9 & on_b12_b2 & on-table_b13 & on_b14_b5 & on_b15_b8 & clear_b3 & clear_b6 & clear_b10 & clear_b12 & clear_b13 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p28 --algorithm laostar --heuristic ff
p29	timeout	 -1.000000	 -1.000000	600.003107	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p29.pddl --formula emptyhand & on_b1_b7 & on_b2_b5 & on_b3_b8 & on_b4_b3 & on_b5_b14 & on_b6_b1 & on_b7_b2 & on_b8_b9 & on_b9_b6 & on-table_b10 & on-table_b11 & on-table_b12 & on_b13_b15 & on-table_b14 & on_b15_b10 & clear_b4 & clear_b11 & clear_b12 & clear_b13 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p29 --algorithm laostar --heuristic ff
p30	timeout	 -1.000000	 -1.000000	600.003382	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p30.pddl --formula emptyhand & on-table_b1 & on_b2_b6 & on_b3_b15 & on-table_b4 & on_b5_b9 & on_b6_b11 & on_b7_b13 & on-table_b8 & on_b9_b14 & on-table_b10 & on_b11_b1 & on_b12_b7 & on_b13_b2 & on_b14_b3 & on-table_b15 & clear_b4 & clear_b5 & clear_b8 & clear_b10 & clear_b12 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p30 --algorithm laostar --heuristic ff
