name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p03	success	  0.167297	  9.908668	 10.075965	74	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p03.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/lf2f-mynd-sc-ff/p03 --algorithm laostar --heuristic ff
p04	success	  0.074278	 51.414639	 51.488917	282	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p04.pddl -g F("on b3 b4"&X(F("on b2 b3"&X(F("on b1 b2"))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/lf2f-mynd-sc-ff/p04 --algorithm laostar --heuristic ff
p05	timeout	 -1.000000	 -1.000000	 60.004428	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p05.pddl -g F("on b4 b5"&X(F("on b3 b4"&X(F("on b2 b3"&X(F("on b1 b2"))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/lf2f-mynd-sc-ff/p05 --algorithm laostar --heuristic ff
p06	timeout	 -1.000000	 -1.000000	 60.003043	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p06.pddl -g F("on b5 b6"&X(F("on b4 b5"&X(F("on b3 b4"&X(F("on b2 b3"&X(F("on b1 b2"))))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/lf2f-mynd-sc-ff/p06 --algorithm laostar --heuristic ff
