name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p03	success	  0.433339	  1.011351	  1.444690	38	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p03.pddl -g O(on_b2_b3 & Y(O(on_b1_b2))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/f4lp-mynd-sc-ff/p03 --algorithm laostar --heuristic ff
p04	success	  0.422346	  0.406038	  0.828384	77	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p04.pddl -g O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/f4lp-mynd-sc-ff/p04 --algorithm laostar --heuristic ff
p05	success	  0.427897	  0.918068	  1.345965	354	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p05.pddl -g O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/f4lp-mynd-sc-ff/p05 --algorithm laostar --heuristic ff
p06	success	  0.443902	  1.893505	  2.337407	724	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p06.pddl -g O(on_b5_b6 & Y(O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/f4lp-mynd-sc-ff/p06 --algorithm laostar --heuristic ff
p07	success	  0.427968	  6.782207	  7.210175	1646	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p07.pddl -g O(on_b6_b7 & Y(O(on_b5_b6 & Y(O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/f4lp-mynd-sc-ff/p07 --algorithm laostar --heuristic ff
p08	timeout	 -1.000000	 -1.000000	 60.005385	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p08.pddl -g O(on_b7_b8 & Y(O(on_b6_b7 & Y(O(on_b5_b6 & Y(O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/f4lp-mynd-sc-ff/p08 --algorithm laostar --heuristic ff
p09	success	  0.429195	 25.774883	 26.204078	2398	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p09.pddl -g O(on_b8_b9 & Y(O(on_b7_b8 & Y(O(on_b6_b7 & Y(O(on_b5_b6 & Y(O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))))))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/f4lp-mynd-sc-ff/p09 --algorithm laostar --heuristic ff
p10	timeout	 -1.000000	 -1.000000	 60.003349	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl -p results/blocksworld1b-2021-12-13T10:44:20.363147/p10.pddl -g O(on_b9_b10 & Y(O(on_b8_b9 & Y(O(on_b7_b8 & Y(O(on_b6_b7 & Y(O(on_b5_b6 & Y(O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))))))))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/f4lp-mynd-sc-ff/p10 --algorithm laostar --heuristic ff
