name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p03	success	  0.351830	  0.282797	  0.634627	19	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t mynd --domain results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl --problem results/blocksworld1b-2021-12-13T10:44:20.363147/p03.pddl --formula O(on_b2_b3 & Y(O(on_b1_b2))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/p4p-mynd-sc-ff/p03 --algorithm laostar --heuristic ff
p04	success	  0.352309	  0.373237	  0.725546	79	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t mynd --domain results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl --problem results/blocksworld1b-2021-12-13T10:44:20.363147/p04.pddl --formula O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/p4p-mynd-sc-ff/p04 --algorithm laostar --heuristic ff
p05	success	  0.352117	  0.702382	  1.054499	250	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t mynd --domain results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl --problem results/blocksworld1b-2021-12-13T10:44:20.363147/p05.pddl --formula O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/p4p-mynd-sc-ff/p05 --algorithm laostar --heuristic ff
p06	success	  0.362598	  1.810913	  2.173511	522	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t mynd --domain results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl --problem results/blocksworld1b-2021-12-13T10:44:20.363147/p06.pddl --formula O(on_b5_b6 & Y(O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/p4p-mynd-sc-ff/p06 --algorithm laostar --heuristic ff
p07	success	  0.357350	 10.468974	 10.826324	1242	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t mynd --domain results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl --problem results/blocksworld1b-2021-12-13T10:44:20.363147/p07.pddl --formula O(on_b6_b7 & Y(O(on_b5_b6 & Y(O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/p4p-mynd-sc-ff/p07 --algorithm laostar --heuristic ff
p08	timeout	 -1.000000	 -1.000000	 60.002840	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t mynd --domain results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl --problem results/blocksworld1b-2021-12-13T10:44:20.363147/p08.pddl --formula O(on_b7_b8 & Y(O(on_b6_b7 & Y(O(on_b5_b6 & Y(O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/p4p-mynd-sc-ff/p08 --algorithm laostar --heuristic ff
p09	timeout	 -1.000000	 -1.000000	 60.002714	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t mynd --domain results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl --problem results/blocksworld1b-2021-12-13T10:44:20.363147/p09.pddl --formula O(on_b8_b9 & Y(O(on_b7_b8 & Y(O(on_b6_b7 & Y(O(on_b5_b6 & Y(O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))))))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/p4p-mynd-sc-ff/p09 --algorithm laostar --heuristic ff
p10	timeout	 -1.000000	 -1.000000	 60.002629	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t mynd --domain results/blocksworld1b-2021-12-13T10:44:20.363147/domain.pddl --problem results/blocksworld1b-2021-12-13T10:44:20.363147/p10.pddl --formula O(on_b9_b10 & Y(O(on_b8_b9 & Y(O(on_b7_b8 & Y(O(on_b6_b7 & Y(O(on_b5_b6 & Y(O(on_b4_b5 & Y(O(on_b3_b4 & Y(O(on_b2_b3 & Y(O(on_b1_b2))))))))))))))))) --working-dir results/blocksworld1b-2021-12-13T10:44:20.363147/p4p-mynd-sc-ff/p10 --algorithm laostar --heuristic ff
